,Actual value,Predicted value
1806,0.0,2.2842192317630863
2169,0.0,2.2842192317630863
3225,0.0,2.2842192317630863
578,0.0,2.2842192317630863
6260,1.8,2.2842192317630863
5766,0.0,2.2842192317630863
5900,15.6,2.2842192317630863
5411,0.0,2.2842192317630863
2028,37.8,10.823072491188682
4144,19.2,9.509402758969362
2239,0.0,2.2842192317630863
4033,27.2,12.939540393097595
6122,0.0,2.2842192317630863
3626,30.4,11.187980750138497
7046,0.0,2.2842192317630863
45,0.0,2.2842192317630863
6681,0.0,2.2842192317630863
5499,0.0,2.2842192317630863
6985,0.0,2.2842192317630863
2574,0.0,2.2842192317630863
2882,0.0,2.2842192317630863
537,24.5,2.2842192317630863
3939,0.0,2.2842192317630863
6956,0.0,2.2842192317630863
4274,0.0,2.2842192317630863
2471,0.0,2.2842192317630863
3854,0.0,2.2842192317630863
5261,0.0,2.2842192317630863
1138,0.0,2.2842192317630863
1029,0.0,2.2842192317630863
1377,0.0,2.2842192317630863
5432,0.0,2.2842192317630863
2813,0.0,2.2842192317630863
6519,0.0,2.2842192317630863
248,0.0,2.2842192317630863
176,0.0,2.2842192317630863
6604,0.0,2.2842192317630863
6378,40.3,2.2842192317630863
4012,0.0,2.2842192317630863
6562,0.0,2.2842192317630863
6490,4.2,2.2842192317630863
5542,0.0,2.2842192317630863
171,0.0,2.2842192317630863
459,0.0,2.2842192317630863
4844,0.0,2.2842192317630863
453,0.0,2.2842192317630863
4599,1.8,2.2842192317630863
1717,0.0,2.2842192317630863
4231,43.9,2.2842192317630863
6999,0.0,2.2842192317630863
1649,0.0,2.2842192317630863
4244,15.5,2.2842192317630863
6258,6.3,2.2842192317630863
4379,0.0,2.2842192317630863
2192,0.0,2.2842192317630863
6706,0.0,2.2842192317630863
4011,0.0,2.2842192317630863
5885,19.2,2.2842192317630863
4632,0.0,2.2842192317630863
5711,3.7,2.2842192317630863
6221,0.0,2.2842192317630863
2738,0.0,2.2842192317630863
1271,0.0,2.2842192317630863
1672,0.0,2.2842192317630863
1408,0.0,2.2842192317630863
1448,0.0,2.2842192317630863
137,0.0,2.2842192317630863
1715,0.0,2.2842192317630863
2391,0.0,2.2842192317630863
5399,0.0,2.2842192317630863
3548,0.0,2.2842192317630863
5362,0.0,2.2842192317630863
3475,0.0,2.2842192317630863
589,0.0,2.2842192317630863
4488,0.0,2.2842192317630863
7171,0.0,2.2842192317630863
4061,0.0,2.2842192317630863
3509,0.0,2.2842192317630863
3953,0.0,2.2842192317630863
3346,0.0,2.2842192317630863
4328,0.0,2.2842192317630863
6412,13.2,2.2842192317630863
4097,18.6,12.501650482357817
5748,0.0,2.2842192317630863
5588,0.0,2.2842192317630863
4406,0.0,2.2842192317630863
778,0.0,2.2842192317630863
1622,0.0,2.2842192317630863
747,0.0,2.2842192317630863
2114,0.0,2.2842192317630863
6416,0.0,2.2842192317630863
6564,0.0,2.2842192317630863
1253,0.0,2.2842192317630863
1234,8.1,27.53587075109007
3582,0.0,2.2842192317630863
6546,37.2,2.2842192317630863
5535,0.0,2.2842192317630863
3607,4.4,5.495411910521431
7085,0.0,2.2842192317630863
3062,5.7,4.473668785461958
5724,0.0,2.2842192317630863
6834,0.0,2.2842192317630863
6677,0.0,2.2842192317630863
4868,0.0,2.2842192317630863
6855,4.4,26.003256063500856
1299,0.0,2.2842192317630863
5422,0.0,2.2842192317630863
4046,29.7,7.101008249900603
3923,0.0,2.2842192317630863
2944,0.0,2.2842192317630863
6156,0.0,2.2842192317630863
782,0.0,2.2842192317630863
3012,30.0,2.2842192317630863
2925,0.0,2.2842192317630863
2523,8.2,7.976788071380152
1577,0.0,2.2842192317630863
3866,0.0,2.2842192317630863
3918,0.0,2.2842192317630863
120,0.0,2.2842192317630863
2567,0.0,2.2842192317630863
5459,0.0,2.2842192317630863
6932,23.4,9.144494500019551
5356,0.0,2.2842192317630863
3762,13.4,4.911558696201732
2481,0.0,2.2842192317630863
493,0.0,2.2842192317630863
7066,0.0,2.2842192317630863
4907,0.0,2.2842192317630863
3749,20.7,12.866558741307632
5603,0.0,2.2842192317630863
5046,0.0,2.2842192317630863
4952,0.0,2.2842192317630863
3176,15.5,2.2842192317630863
6063,0.0,2.2842192317630863
3149,0.0,2.2842192317630863
6896,0.0,2.2842192317630863
3009,27.7,2.2842192317630863
7003,0.0,2.2842192317630863
5460,0.0,2.2842192317630863
1557,0.0,2.2842192317630863
3591,0.0,2.2842192317630863
1933,0.0,2.2842192317630863
68,0.0,2.2842192317630863
6917,0.0,2.2842192317630863
625,0.0,2.2842192317630863
4002,4.8,2.2842192317630863
3635,0.0,2.2842192317630863
383,0.0,2.2842192317630863
497,0.0,2.2842192317630863
193,0.0,2.2842192317630863
5639,1.8,2.2842192317630863
1038,0.0,2.2842192317630863
6530,0.0,2.2842192317630863
4869,0.0,2.2842192317630863
2238,0.0,2.2842192317630863
7239,12.4,2.2842192317630863
1859,0.0,2.2842192317630863
250,0.0,2.2842192317630863
